epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3127,0.9142,0.4727,1.06076,0.94615,0.97276,0.98473,0.7113,1.04232,0.52175,1.15218,0.000691591,0.000691591,0.000691591
43,3200.24,0.90705,0.4779,1.05036,0.95766,0.94953,0.9799,0.71515,1.0082,0.46737,1.11959,0.0006678,0.0006678,0.0006678
44,3273.74,0.88989,0.48376,1.05649,0.94646,0.96709,0.98448,0.71304,1.02252,0.59217,1.13236,0.00064401,0.00064401,0.00064401
45,3347.07,0.90268,0.47946,1.05844,0.9352,0.96775,0.98465,0.71506,1.00961,0.46472,1.11859,0.000620219,0.000620219,0.000620219
46,3419.84,0.8767,0.49605,1.04698,0.95649,0.97227,0.98193,0.71478,1.01395,0.45884,1.15241,0.000596429,0.000596429,0.000596429
47,3493.94,0.88208,0.4619,1.05508,0.96116,0.95732,0.98433,0.70788,1.01156,0.72732,1.14324,0.000572638,0.000572638,0.000572638
48,3568.13,0.86724,0.45663,1.04741,0.95391,0.9635,0.98321,0.71773,0.9963,0.58293,1.12236,0.000548848,0.000548848,0.000548848
49,3644.24,0.86348,0.45782,1.04354,0.96072,0.95753,0.98079,0.71066,1.02344,0.48904,1.13901,0.000525057,0.000525057,0.000525057
50,3717.33,0.84097,0.4415,1.04046,0.95435,0.95103,0.97859,0.71326,1.01839,0.4657,1.14241,0.000501267,0.000501267,0.000501267
51,3791.2,0.83096,0.43626,1.02395,0.94987,0.96419,0.98032,0.71082,1.01004,0.52144,1.12533,0.000477476,0.000477476,0.000477476
52,3864.21,0.8339,0.44599,1.02673,0.96395,0.95921,0.97869,0.71359,1.01631,0.45394,1.13703,0.000453686,0.000453686,0.000453686
53,3937.21,0.83183,0.43239,1.02006,0.94733,0.96606,0.98055,0.71168,1.00599,0.46736,1.13957,0.000429895,0.000429895,0.000429895
54,4009.36,0.80863,0.41205,1.01143,0.95735,0.96676,0.9798,0.71532,1.0158,0.45001,1.11903,0.000406105,0.000406105,0.000406105
55,4082.34,0.82272,0.43121,1.01143,0.95671,0.96375,0.97846,0.70963,1.01016,0.45598,1.13119,0.000382315,0.000382315,0.000382315
56,4156.55,0.79526,0.40965,1.00433,0.95899,0.96841,0.98167,0.71164,1.01459,0.45031,1.1415,0.000358524,0.000358524,0.000358524
57,4229.58,0.80129,0.41721,1.0127,0.95789,0.96128,0.98239,0.71726,0.9993,0.44238,1.12642,0.000334734,0.000334734,0.000334734
58,4302.54,0.78771,0.40779,0.99821,0.96315,0.96596,0.97955,0.71914,1.00524,0.44519,1.11985,0.000310943,0.000310943,0.000310943
59,4378.84,0.78583,0.41073,0.99124,0.97075,0.95905,0.98164,0.71202,1.00911,0.44272,1.13178,0.000287153,0.000287153,0.000287153
60,4451.52,0.76966,0.38818,0.9927,0.97101,0.95804,0.97877,0.71947,0.9978,0.44231,1.13052,0.000263362,0.000263362,0.000263362
61,4527.08,0.74621,0.37313,0.98742,0.95907,0.96007,0.9769,0.72122,0.99889,0.44588,1.12436,0.000239572,0.000239572,0.000239572
62,4602.78,0.74045,0.36279,0.99451,0.96148,0.95905,0.98087,0.72114,0.9974,0.44668,1.12178,0.000215781,0.000215781,0.000215781
63,4676.85,0.7115,0.35325,0.96975,0.94695,0.9729,0.98134,0.71754,1.00246,0.43977,1.1339,0.000191991,0.000191991,0.000191991
64,4749.2,0.71888,0.35484,0.97875,0.96236,0.97165,0.98013,0.71895,0.99446,0.44418,1.12794,0.0001682,0.0001682,0.0001682
65,4820.85,0.70873,0.35037,0.96949,0.95314,0.96353,0.98145,0.72639,0.99397,0.43308,1.12676,0.00014441,0.00014441,0.00014441
66,4896.19,0.704,0.35284,0.9719,0.96648,0.9655,0.9832,0.71924,1.00485,0.42955,1.14049,0.000120619,0.000120619,0.000120619
67,4968.35,0.70128,0.34632,0.96782,0.96935,0.9632,0.98358,0.72309,0.99672,0.432,1.13296,9.68289e-05,9.68289e-05,9.68289e-05
68,5040.89,0.69826,0.34953,0.96904,0.9569,0.96965,0.98474,0.72555,0.99474,0.42762,1.13309,7.30384e-05,7.30384e-05,7.30384e-05
69,5113.1,0.68841,0.34269,0.96198,0.96017,0.96522,0.98298,0.72328,0.99604,0.43455,1.13376,4.92479e-05,4.92479e-05,4.92479e-05
70,5184.89,0.67987,0.34037,0.95801,0.96393,0.95804,0.98305,0.72608,0.98947,0.43086,1.12892,2.54575e-05,2.54575e-05,2.54575e-05
